date,open,high,low,close
2024-11-11,224.7529,225.4522,221.2568,223.9838
2024-11-12,224.3034,225.3423,223.1098,223.9838
2024-11-13,223.764,226.4011,222.5154,224.8728
2024-11-14,224.7729,228.6187,224.7529,227.9694
2024-11-15,226.1514,226.6708,224.0238,224.7529
2024-11-18,225.0027,229.4877,224.9228,227.7696
2024-11-19,226.7308,229.9073,226.4111,228.0293
2024-11-20,227.8096,229.6775,225.642,228.7486
2024-11-21,228.6287,229.9023,225.4625,228.2691
2024-11-22,227.8096,230.4666,227.8096,229.6176
2024-11-25,231.2059,232.9889,229.4877,232.6143
2024-11-26,233.0738,235.3113,233.0738,234.8019
2024-11-27,234.2076,235.4312,233.5534,234.672
2024-11-29,234.5472,237.5489,233.7131,237.0694
2024-12-02,237.0095,240.5256,236.8996,239.3269
2024-12-03,239.5467,242.4934,238.6377,242.3836
2024-12-04,242.6033,243.842,240.9851,242.7432
2024-12-05,243.7221,244.2715,241.8641,242.7731
2024-12-06,242.6383,244.3614,241.8142,242.5734
2024-12-09,241.5645,246.9685,241.4846,246.4791
2024-12-10,246.6189,247.9375,245.0706,247.4979
2024-12-11,247.6877,250.5246,245.9897,246.2194
2024-12-12,246.6189,248.4669,245.4102,247.6877
2024-12-13,247.5429,249.0165,245.9696,247.8576
2024-12-16,247.7177,251.104,247.3781,250.7644
2024-12-17,249.8054,253.5513,249.5057,253.2017
2024-12-18,251.8831,254.0008,247.468,247.7776
2024-12-19,247.2282,251.7233,246.8236,249.5157
2024-12-20,247.7677,254.72,245.4202,254.2106
2024-12-23,254.4903,255.3693,253.1717,254.9897
2024-12-24,255.2095,257.9265,255.0097,257.9165
2024-12-26,257.9065,259.8144,257.3471,258.7356
2024-12-27,257.5469,258.4159,252.7821,255.3094
2024-12-30,251.9531,253.2217,250.4747,251.9231
2024-12-31,252.1628,253.0019,249.1561,250.145
2025-01-02,248.6567,248.8265,241.5546,243.5823
2025-01-03,243.0928,243.9119,241.6244,243.0928
2025-01-06,244.0417,247.0584,242.933,244.731
2025-01-07,242.7132,245.2804,241.085,241.9441
2025-01-08,241.6544,243.4447,239.7864,242.4335
2025-01-10,239.7465,239.8963,232.7442,236.5899
2025-01-13,233.2736,234.4123,229.4678,234.1426
2025-01-14,234.4922,235.8607,232.2167,233.0239
2025-01-15,234.3774,238.6976,234.1726,237.6088
2025-01-16,237.0894,237.7487,227.7796,228.0094
2025-01-17,231.8601,232.0349,228.2291,229.7275
2025-01-21,223.754,224.1736,219.1391,222.3955
2025-01-22,219.5487,223.8739,219.5487,223.5842
2025-01-23,224.4932,226.7807,222.0559,223.4144
2025-01-24,224.5332,225.3823,221.1669,222.5354
2025-01-27,223.774,231.8951,223.7341,229.6076
2025-01-28,230.5965,239.9263,230.5566,237.9984
2025-01-29,233.8629,239.5916,233.7531,239.0972
2025-01-30,238.4029,240.5256,236.9495,237.3291
2025-01-31,246.9186,246.9186,233.1837,235.7409
2025-02-03,229.7375,231.5755,225.4522,227.7596
2025-02-04,227.0005,232.874,226.4011,232.5444
2025-02-05,228.2791,232.4145,228.0194,232.2147
2025-02-06,231.031,233.5433,230.172,232.9639
2025-02-07,232.3446,233.7431,227.0105,227.3801
2025-02-10,229.57,230.585,227.2,227.65
2025-02-11,228.2,235.23,228.13,232.62
2025-02-12,231.2,236.96,230.68,236.87
2025-02-13,236.91,242.3399,235.57,241.53
2025-02-14,241.25,245.55,240.99,244.6
2025-02-18,244.15,245.18,241.84,244.47
2025-02-19,244.66,246.01,243.1604,244.87
2025-02-20,244.94,246.78,244.29,245.83
2025-02-21,245.95,248.69,245.22,245.55
2025-02-24,244.925,248.86,244.42,247.1
2025-02-25,248.0,250.0,244.91,247.04
2025-02-26,244.33,244.98,239.13,240.36
2025-02-27,239.41,242.46,237.06,237.3
2025-02-28,236.95,242.09,230.2,241.84
2025-03-03,241.79,244.0272,236.112,238.03
2025-03-04,237.705,240.07,234.68,235.93
2025-03-05,235.42,236.55,229.23,235.74
2025-03-06,234.435,237.86,233.1581,235.33
2025-03-07,235.105,241.37,234.76,239.07
2025-03-10,235.54,236.16,224.22,227.48
2025-03-11,223.805,225.8399,217.45,220.84
2025-03-12,220.14,221.75,214.91,216.98
2025-03-13,215.95,216.8394,208.42,209.68
2025-03-14,211.25,213.95,209.58,213.49
2025-03-17,213.31,215.22,209.97,214.0
2025-03-18,214.16,215.15,211.49,212.69
2025-03-19,214.22,218.76,213.75,215.24
2025-03-20,213.99,217.4899,212.22,214.1
2025-03-21,211.56,218.84,211.28,218.27
2025-03-24,221.0,221.48,218.58,220.73
2025-03-25,220.77,224.1,220.08,223.75
2025-03-26,223.51,225.02,220.47,221.53
2025-03-27,221.39,224.99,220.5601,223.85
2025-03-28,221.67,223.81,217.68,217.9
2025-03-31,217.005,225.62,216.23,222.13
2025-04-01,219.805,223.68,218.9,223.19
2025-04-02,221.315,225.19,221.02,223.89
2025-04-03,205.54,207.49,201.25,203.19
2025-04-04,193.89,199.88,187.34,188.38
2025-04-07,177.47,188.38,174.43,181.1
