,date,open,high,low,close,MA5,MA20,MA60,BB_Middle,BB_Upper,BB_Lower,RSI,MACD,MACD_Signal,MACD_Histogram,Stoch_K,Stoch_D,Supertrend,Supertrend_Direction,KC_Middle,KC_Upper,KC_Lower,BodySize,UpperShadow,LowerShadow,IsBullish,IsBearish,Doji,Hammer,InvertedHammer,ShootingStar,Marubozu,LongBullish,LongBearish,BullishEngulfing,BearishEngulfing,PiercingLine,DarkCloudCover,MorningStar,EveningStar,ThreeWhiteSoldiers,ThreeBlackCrows,EMA5,EMA13,UpTrend,DownTrend,ATR14,ATR14_Pct,IsPotentialTop,IsPotentialBottom,Fib_Trend,Pivot_P,Pivot_S1,Pivot_S2,Pivot_S3,Pivot_R1,Pivot_R2,Pivot_R3
0,2024-11-01,59000.0,59600.0,58100.0,58300.0,,,,,,,,0.0,0.0,0.0,,,0.0,1,58300.0,,,700.0,600.0,200.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58300.0,58300.0,False,False,,,,,up,58433.333333333336,57166.66666666667,56533.333333333336,54633.333333333336,59066.66666666667,60333.333333333336,62233.333333333336
1,2024-11-04,58600.0,59400.0,58400.0,58700.0,,,,,,,,31.90883190882596,6.381766381765193,25.527065527060767,,,0.0,1,58338.09523809524,,,100.0,700.0,200.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58433.333333333336,58357.142857142855,True,False,,,,,up,58433.333333333336,57166.66666666667,56533.333333333336,54633.333333333336,59066.66666666667,60333.333333333336,62233.333333333336
2,2024-11-05,57800.0,58100.0,57200.0,57600.0,,,,,,,,-31.204292172958958,-1.135445329179638,-30.06884684377932,,,0.0,1,58267.800453514734,,,200.0,300.0,400.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58155.55555555556,58248.97959183674,False,True,,,,,up,58433.333333333336,57166.66666666667,56533.333333333336,54633.333333333336,59066.66666666667,60333.333333333336,62233.333333333336
3,2024-11-06,57600.0,58000.0,56300.0,57300.0,,,,,,,,-104.22791597295145,-21.753939457934,-82.47397651501745,,,0.0,1,58175.628981751426,,,300.0,400.0,1000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,57870.37037037038,58113.4110787172,False,True,,,,,up,58433.333333333336,57166.66666666667,56533.333333333336,54633.333333333336,59066.66666666667,60333.333333333336,62233.333333333336
4,2024-11-07,56900.0,58100.0,56800.0,57500.0,57880.0,,,,,,,-144.29795836926496,-46.262743240200194,-98.03521512906477,,,0.0,1,58111.28336444176,,,600.0,600.0,100.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,57746.913580246925,58025.78092461475,False,True,,,,,up,58433.333333333336,57166.66666666667,56533.333333333336,54633.333333333336,59066.66666666667,60333.333333333336,62233.333333333336
5,2024-11-08,58000.0,58300.0,57000.0,57000.0,57620.0,,,,,,,-213.93348493767553,-79.79689157969526,-134.13659335798027,,,0.0,1,58005.44685354255,,,1000.0,300.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,57497.94238683129,57879.240792526936,False,True,,,,,up,58433.333333333336,57166.66666666667,56533.333333333336,54633.333333333336,59066.66666666667,60333.333333333336,62233.333333333336
6,2024-11-11,56700.0,56800.0,55000.0,55000.0,56880.0,,,,,,,-425.59740478542517,-148.95699422084124,-276.64041056458393,,,0.0,1,57719.21381987183,,,1700.0,100.0,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,56665.2949245542,57467.9206793088,False,True,,,,,up,58433.333333333336,57166.66666666667,56533.333333333336,54633.333333333336,59066.66666666667,60333.333333333336,62233.333333333336
7,2024-11-12,54600.0,54600.0,53000.0,53000.0,55960.0,,,,,,,-746.1250068908048,-268.39059675483395,-477.73441013597085,,,0.0,1,57269.76488464594,,,1600.0,0.0,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,55443.5299497028,56829.6462965504,False,True,,,,,up,58433.333333333336,57166.66666666667,56533.333333333336,54633.333333333336,59066.66666666667,60333.333333333336,62233.333333333336
8,2024-11-13,52000.0,53000.0,50500.0,50600.0,54620.0,,,,,,,-1180.2007634475522,-450.75263009337766,-729.4481333541745,,,0.0,1,56634.54918134633,,,1400.0,1000.0,100.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,53829.019966468535,55939.696825614636,False,True,,,,,up,58433.333333333336,57166.66666666667,56533.333333333336,54633.333333333336,59066.66666666667,60333.333333333336,62233.333333333336
9,2024-11-14,50200.0,51800.0,49900.0,49900.0,53100.0,,,,,,,-1562.6794813943197,-673.1380003535661,-889.5414810407536,,,45810.0,1,55993.16354502764,59353.16354502764,52633.16354502764,300.0,1600.0,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,52519.34664431236,55076.88299338397,False,True,,,,,up,58433.333333333336,57166.66666666667,56533.333333333336,54633.333333333336,59066.66666666667,60333.333333333336,62233.333333333336
10,2024-11-15,50300.0,54200.0,50300.0,53500.0,52400.0,,,,,,,-1557.3544942427106,-849.981299131395,-707.3731951113157,,,46370.0,1,55755.719397882145,59675.719397882145,51835.719397882145,3200.0,700.0,0.0,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,52846.23109620824,54851.61399432913,False,True,,,,,up,58433.333333333336,57166.66666666667,56533.333333333336,54633.333333333336,59066.66666666667,60333.333333333336,62233.333333333336
11,2024-11-18,57000.0,57500.0,55900.0,56700.0,52740.0,,,,,,,-1280.1642109274253,-936.0178814906012,-344.1463294368241,,,49950.0,1,55845.65088379813,60345.65088379813,51345.65088379813,300.0,500.0,800.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,54130.8207308055,55115.669137996396,False,True,,,,,up,58433.333333333336,57166.66666666667,56533.333333333336,54633.333333333336,59066.66666666667,60333.333333333336,62233.333333333336
